Year,Stock,Stock_Name,Cumulative_Return
2004,INFY,Infosys,1.3626266245399172
2005,INFY,Infosys,1.9266295203002763
2006,INFY,Infosys,1.4496846824338059
2007,INFY,Infosys,1.128989030180447
2008,INFY,Infosys,0.7209152552965509
2009,INFY,Infosys,1.6332122723963407
2010,INFY,Infosys,2.152163190229083
2011,INFY,Infosys,1.7223341921545021
2012,INFY,Infosys,1.4217327796324764
2013,INFY,Infosys,2.1463771415752175
2014,INFY,Infosys,1.2208293629222016
2015,INFY,Infosys,0.6835012043021685
2016,INFY,Infosys,0.6249683936374318
2017,INFY,Infosys,0.6505327285884386
2018,INFY,Infosys,0.41475355957946075
2019,INFY,Infosys,0.45597634025490225
2020,INFY,Infosys,0.7771121504948173
2021,INFY,Infosys,0.835004832419101
2004,WIPRO,Wipro,1.324957975758648
2005,WIPRO,Wipro,0.8140006338739983
2006,WIPRO,Wipro,1.06823258406813
2007,WIPRO,Wipro,0.9181856885216458
2008,WIPRO,Wipro,0.4153188753894421
2009,WIPRO,Wipro,1.1380892011477761
2010,WIPRO,Wipro,0.805832113092887
2011,WIPRO,Wipro,0.665118028134011
2012,WIPRO,Wipro,0.6576166969896424
2013,WIPRO,Wipro,0.9265287401275084
2014,WIPRO,Wipro,0.9307196607902889
2015,WIPRO,Wipro,0.9433561514780644
2016,WIPRO,Wipro,0.8043405985601
2017,WIPRO,Wipro,0.5360280629784995
2018,WIPRO,Wipro,0.5602428830719841
2019,WIPRO,Wipro,0.42157569465511624
2020,WIPRO,Wipro,0.6573823660094414
2021,WIPRO,Wipro,0.8346435476710956
2004,HCLTECH,HCL Tech,1.0805843543826579
2005,HCLTECH,HCL Tech,1.6653602785811632
2006,HCLTECH,HCL Tech,1.9826085528622366
2007,HCLTECH,HCL Tech,1.022396416818203
2008,HCLTECH,HCL Tech,0.3660372825931961
2009,HCLTECH,HCL Tech,1.106756050707278
2010,HCLTECH,HCL Tech,1.3607045220565765
2011,HCLTECH,HCL Tech,1.1623589548207616
2012,HCLTECH,HCL Tech,1.8271125135863953
2013,HCLTECH,HCL Tech,3.7078211107104453
2014,HCLTECH,HCL Tech,4.70482283011006
2015,HCLTECH,HCL Tech,2.5037926325784867
2016,HCLTECH,HCL Tech,2.4508070108687807
2017,HCLTECH,HCL Tech,2.6342107944220268
2018,HCLTECH,HCL Tech,2.8909766468656897
2019,HCLTECH,HCL Tech,1.7110630130587057
2020,HCLTECH,HCL Tech,2.830531112519441
2021,HCLTECH,HCL Tech,2.6770183520245676
2004,TCS,TCS,1.3517384483020396
2005,TCS,TCS,1.700947952478203
2006,TCS,TCS,1.2316653223088196
2007,TCS,TCS,1.0628724215102303
2008,TCS,TCS,0.4816715473327382
2009,TCS,TCS,0.7273303379015533
2010,TCS,TCS,1.127935353389138
2011,TCS,TCS,1.1304677413851763
2012,TCS,TCS,1.204562967095345
2013,TCS,TCS,2.069668150677882
2014,TCS,TCS,2.4588903294811177
2015,TCS,TCS,2.353890868140897
2016,TCS,TCS,2.304356291644885
2017,TCS,TCS,2.636003648333014
2018,TCS,TCS,1.8861833635004581
2019,TCS,TCS,2.1428224599952386
2020,TCS,TCS,2.8300262951427246
2021,TCS,TCS,2.933823725040557
